web-scraper-order,web-scraper-start-url,judul,link,link-href,tanggal,tanggal-href,gambar,gambar-href
"1721993904-40","https://news.detik.com/indeks","","Ini yang Didalami KPK Saat Periksa Menteri Kelautan dan Perikanan Trenggono","https://news.detik.com/berita/d-7458999/ini-yang-didalami-kpk-saat-periksa-menteri-kelautan-dan-perikanan-trenggono","","","",""
"1721993904-41","https://news.detik.com/indeks","","","","Kejagung Tangkap Anggota DPR Ujang Iskandar Terkait Kasus Korupsi","https://news.detik.com/berita/d-7459072/kejagung-tangkap-anggota-dpr-ujang-iskandar-terkait-kasus-korupsi","",""
"1721993904-42","https://news.detik.com/indeks","","","","Baru Mau Jogging, Warga Diminta Keluar Area Monas karena Sudah Jam 4 Sore","https://news.detik.com/berita/d-7459069/baru-mau-jogging-warga-diminta-keluar-area-monas-karena-sudah-jam-4-sore","",""
"1721993904-43","https://news.detik.com/indeks","","","","Titik-titik Kemacetan di Tol Saat Jumat Malam Jam Pulang Kerja","https://news.detik.com/berita/d-7459065/titik-titik-kemacetan-di-tol-saat-jumat-malam-jam-pulang-kerja","",""
"1721993904-44","https://news.detik.com/indeks","","","","Pemukiman Warga di California Membara Dilalap Kebakaran Hutan","https://news.detik.com/foto-news/d-7458508/pemukiman-warga-di-california-membara-dilalap-kebakaran-hutan","",""
"1721993904-45","https://news.detik.com/indeks","","","","PAN Anggap Menarik Pileg-Pilpres Dipisah: Caleg Kredibel Tidak Tenggelam","https://news.detik.com/pemilu/d-7459053/pan-anggap-menarik-pileg-pilpres-dipisah-caleg-kredibel-tidak-tenggelam","",""
"1721993904-46","https://news.detik.com/indeks","","","","Kepala BP2MI Sebut Pengendali Judi Online Inisial T, Ini Reaksi Jokowi","https://news.detik.com/berita/d-7459051/kepala-bp2mi-sebut-pengendali-judi-online-inisial-t-ini-reaksi-jokowi","",""
"1721993904-47","https://news.detik.com/indeks","","","","Israel Peringatkan Prancis Soal Ancaman Iran Saat Olimpiade","https://news.detik.com/internasional/d-7459047/israel-peringatkan-prancis-soal-ancaman-iran-saat-olimpiade","",""
"1721993904-48","https://news.detik.com/indeks","","","","Jembatan Miring yang Bikin Warga Sukabumi Bergelantungan Segera Diperbaiki","https://news.detik.com/berita/d-7459045/jembatan-miring-yang-bikin-warga-sukabumi-bergelantungan-segera-diperbaiki","",""
"1721993904-49","https://news.detik.com/indeks","","","","Ledakan Semalaman Saat Pabrik Kembang Api di Bulgaria Terbakar, 1 Orang Tewas","https://20.detik.com/detikupdate/20240726-240726105/ledakan-semalaman-saat-pabrik-kembang-api-di-bulgaria-terbakar-1-orang-tewas","",""
